Rank,TeamName,NbrUsedPlayer,Age,Possession,MP,Starts,Min,90s,Gls,GA,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,xGA,npxG,xAG,npxG+xAG,PrgC,PrgP,Last5,Gls_per90,Ast_per90,G+A_per90,G-PK_per90,G+A-PK_per90,xG_per90,xAG_per90,xG+xAG_per90,npxG_per90,npxG+xAG_per90,TopTeamScorer
18.0,Alavés,25.0,27.1,43.5,22.0,242.0,1980.0,22.0,25.0,34.0,12.0,37.0,20.0,5.0,6.0,58.0,2.0,23.2,27.1,18.5,12.8,31.3,265.0,646.0,D L W D L,1.14,0.55,1.68,0.91,1.45,1.05,0.58,1.64,0.84,1.42,Kiké - 9
4.0,Athletic Club,28.0,27.5,48.3,22.0,242.0,1980.0,22.0,33.0,20.0,26.0,59.0,32.0,1.0,3.0,41.0,3.0,31.0,20.9,28.6,22.4,51.1,418.0,936.0,D W W D D,1.5,1.18,2.68,1.45,2.64,1.41,1.02,2.43,1.3,2.32,Oihan Sancet - 8
2.0,Atlético Madrid,24.0,29.1,53.0,22.0,242.0,1980.0,22.0,37.0,14.0,30.0,67.0,36.0,1.0,2.0,50.0,1.0,37.5,18.6,35.9,28.6,64.5,435.0,949.0,W W L D W,1.68,1.36,3.05,1.64,3.0,1.7,1.3,3.0,1.63,2.93,"Antoine Griezmann, Alexander Sørloth - 8"
3.0,Barcelona,27.0,25.0,67.0,22.0,242.0,1980.0,22.0,59.0,24.0,42.0,101.0,56.0,3.0,4.0,40.0,2.0,55.2,26.3,52.0,43.2,95.2,486.0,1237.0,L L D W W,2.68,1.91,4.59,2.55,4.45,2.51,1.96,4.47,2.37,4.33,Robert Lewandowski - 18
10.0,Betis,34.0,27.7,51.2,22.0,242.0,1980.0,22.0,23.0,28.0,15.0,38.0,20.0,3.0,4.0,49.0,3.0,30.8,28.8,27.7,21.4,49.1,342.0,836.0,D L L W D,1.05,0.68,1.73,0.91,1.59,1.4,0.97,2.37,1.26,2.23,Giovani Lo Celso - 7
13.0,Celta Vigo,30.0,27.6,53.3,22.0,242.0,1980.0,22.0,30.0,35.0,21.0,51.0,28.0,2.0,3.0,52.0,5.0,28.9,24.8,26.5,21.8,48.4,395.0,893.0,W L L D L,1.36,0.95,2.32,1.27,2.23,1.31,0.99,2.31,1.21,2.2,Iago Aspas - 6
17.0,Espanyol,26.0,26.0,39.4,22.0,242.0,1980.0,22.0,20.0,33.0,16.0,36.0,19.0,1.0,1.0,59.0,0.0,18.2,34.9,17.4,13.7,31.1,289.0,591.0,L D W D W,0.91,0.73,1.64,0.86,1.59,0.83,0.62,1.45,0.79,1.41,Javi Puado - 7
14.0,Getafe,28.0,27.9,43.3,22.0,242.0,1980.0,22.0,17.0,17.0,9.0,26.0,13.0,4.0,4.0,67.0,1.0,21.2,26.1,18.1,12.9,31.1,236.0,596.0,L W D W D,0.77,0.41,1.18,0.59,1.0,0.96,0.59,1.55,0.82,1.41,Mauro Arambarri - 5
7.0,Girona,28.0,27.8,57.5,22.0,242.0,1980.0,22.0,30.0,30.0,22.0,52.0,27.0,3.0,4.0,50.0,1.0,28.2,26.1,25.2,20.4,45.5,436.0,1048.0,W W L L W,1.36,1.0,2.36,1.23,2.23,1.28,0.93,2.21,1.14,2.07,"Cristhian Stuani, Abel Ruiz - 4"
15.0,Las Palmas,29.0,27.8,52.0,22.0,242.0,1980.0,22.0,25.0,36.0,18.0,43.0,24.0,1.0,2.0,64.0,2.0,21.9,42.1,20.3,16.4,36.7,284.0,710.0,W L L D L,1.14,0.82,1.95,1.09,1.91,1.0,0.75,1.74,0.92,1.67,"Sandro Ramírez, Fábio Silva - 7"
16.0,Leganés,23.0,28.4,41.0,22.0,242.0,1980.0,22.0,19.0,30.0,17.0,36.0,17.0,2.0,4.0,45.0,4.0,17.3,36.9,14.2,10.8,25.0,220.0,525.0,L D W D L,0.86,0.77,1.64,0.77,1.55,0.79,0.49,1.28,0.64,1.14,Juan Cruz - 4
9.0,Mallorca,27.0,29.1,46.1,22.0,242.0,1980.0,22.0,18.0,28.0,13.0,31.0,16.0,2.0,2.0,51.0,6.0,23.3,24.8,21.7,16.2,38.0,295.0,696.0,W W L L L,0.82,0.59,1.41,0.73,1.32,1.06,0.74,1.8,0.99,1.73,Cyle Larin - 5
8.0,Osasuna,23.0,28.0,45.7,22.0,242.0,1980.0,22.0,25.0,31.0,14.0,39.0,21.0,4.0,4.0,56.0,0.0,22.6,30.2,19.7,15.5,35.1,337.0,703.0,L L D D W,1.14,0.64,1.77,0.95,1.59,1.03,0.7,1.73,0.89,1.6,Ante Budimir - 12
6.0,Rayo Vallecano,23.0,29.5,49.6,22.0,242.0,1980.0,22.0,24.0,24.0,18.0,42.0,24.0,0.0,0.0,58.0,2.0,26.0,26.4,26.0,21.0,47.1,325.0,769.0,D W D W W,1.09,0.82,1.91,1.09,1.91,1.18,0.96,2.14,1.18,2.14,Jorge de Frutos - 4
1.0,Real Madrid,26.0,27.5,61.6,22.0,242.0,1980.0,22.0,50.0,21.0,37.0,87.0,42.0,8.0,10.0,34.0,2.0,44.3,20.4,36.8,31.4,68.2,554.0,1168.0,W W W W L,2.27,1.68,3.95,1.91,3.59,2.01,1.43,3.44,1.67,3.1,Kylian Mbappé - 15
11.0,Real Sociedad,27.0,26.0,56.1,22.0,242.0,1980.0,22.0,17.0,19.0,13.0,30.0,15.0,2.0,2.0,56.0,1.0,26.2,23.2,24.6,20.5,45.1,407.0,852.0,L W L L L,0.77,0.59,1.36,0.68,1.27,1.19,0.93,2.12,1.12,2.05,"Mikel Oyarzabal, Takefusa Kubo - 4"
12.0,Sevilla,33.0,26.7,53.5,22.0,242.0,1980.0,22.0,21.0,30.0,18.0,39.0,20.0,1.0,2.0,62.0,5.0,24.6,28.0,23.0,17.1,40.1,356.0,676.0,L D W D D,0.95,0.82,1.77,0.91,1.73,1.12,0.78,1.89,1.05,1.82,Dodi Lukebakio - 9
19.0,Valencia,31.0,25.1,46.8,22.0,242.0,1980.0,22.0,22.0,37.0,13.0,35.0,19.0,3.0,3.0,49.0,1.0,23.0,33.9,20.7,16.0,36.6,326.0,735.0,L D W L W,1.0,0.59,1.59,0.86,1.45,1.05,0.73,1.77,0.94,1.66,Hugo Duro - 7
20.0,Valladolid,28.0,26.2,42.5,22.0,242.0,1980.0,22.0,15.0,47.0,9.0,24.0,12.0,3.0,3.0,62.0,3.0,19.2,38.8,16.9,14.1,31.0,272.0,566.0,L W L L L,0.68,0.41,1.09,0.55,0.95,0.87,0.64,1.51,0.77,1.41,"Selim Amallah, Raúl Moro - 3"
5.0,Villarreal,26.0,27.7,48.5,22.0,242.0,1980.0,22.0,42.0,33.0,26.0,68.0,37.0,5.0,7.0,61.0,2.0,40.6,25.0,34.9,28.7,63.6,388.0,911.0,W L W D W,1.91,1.18,3.09,1.68,2.86,1.84,1.3,3.15,1.59,2.89,Ayoze Pérez - 9
